web-scraper-order,url,url-href,title,content,up_button,down_button,rating
1702129364-1,TVB 示范最狠骂人，和真正的「大女主 · 职场 · 爽剧」,https://movie.douban.com/review/15581897/,TVB 示范最狠骂人，和真正的「大女主 · 职场 · 爽剧」,"前几天有一句十分歹毒的骂人话冲上了热搜，出处是正在播出的 TVB 港剧《新闻女王》。具体是这么骂的——“找个男人嫁了吧。”类似的歹毒骂人在《新闻女王》里比比皆是。每一句骂都是直接踩在人脸上无情蹦迪，变着花样地否定对方的工作能力。而在 TVB 港剧中，对一个职场人工作能力的极致否定，就是劝其离开职场，“找个男人嫁了”。合理。反观内娱，骂人用语则是“你没男人要”、“你嫁不出去”。哎，这种话现在不仅骂不到对方，甚至反而是一种赞美与祝福——

用《花儿与少年 5》里赵昭仪的话来说就是，“都说是妖孽，分明是祥瑞！”来源：《花儿与少年》第五季所以，一起来好好看看《新闻女王》吧，跟它好好学学。学这部典型的 TVB 剧不仅示范了什么是真正的骂人，还示范了什么是真正的【大女主 · 职场 · 爽剧】。01 重新定义“爽剧”先看《新闻女王》是如何做爽剧的。准确说是，《新闻女王》重新示范了一次，什么是“爽剧”。内娱的爽剧是什么样的？扇女配巴掌扇得爽、骂婆婆渣男骂得爽、穿越先知躺赢发财爽……《延禧攻略》总结下，就是，网文金手指的那种爽细品下，就是，财富值 10000 比 -1，稳赢，且赢得暴力、不费力。《延禧攻略》而 TVB 的爽剧，没有金手指，赢得很费力。被对手关熄了提词器，不会有雷公及时通电，只能自己凭借扎实的新闻记忆，张口背诵过去几年的类似案件；被挤兑出局，不会有老板跪下来求自己回去，只能做小伏低奉上投名状……今朝被奉为女王，于是被传言当年还是小妹时就靠着惊人胆量和巧舌如簧，一举成名。但实际上，没有那么“爽”。现实的“爽”，是 99% 要靠竭尽全力，1% 靠运气。现实的“爽”，是坦荡地承认，当年一切只是意外，只是被推着走。但，意外也得果断地接住意外，被推着走也得即便双腿瘫软，依然在枪战中坚持举着摄像机，边哭边拍下现场报道，一举成名。每一次战斗，都胆战心惊，差一步都不行。这样的赢，是卷面打分 100 比 99、实际水平 150 比 99。这样的赢，才是真的爽。而赢，还只是 TVB 爽剧中的第一层爽而已。第二层爽才是更重要、却又更被忽视的——情节看得爽。节奏紧凑、环环相扣、惊心动魄、出其不意……这样的情节推进，观众才能看得酣畅淋漓、意犹未尽、欲罢不能、天天催更。还有第三层爽——内心深处被震撼后的爽、被唤醒的爽、被感动的爽。爽剧就是要做到能轻易调动观众情绪。而都是情绪，热血比戾气高级。02 TVB 的职场剧TVB 打造过大量优质职场剧。时隔多年，都以为 TVB 已走下坡路，但看这部 TVB 新作，发现再怎么下坡也不会丢了基本水准。我还发现，之所以 TVB 拍的职场剧深入人心，是因为同时拍出了职场中的“职业”与“场”。先说“职业”。关于职业的核心要素有哪些，职场剧就应该要拍出哪些。要展现某一种职业，那么这种职业的职能、流程、规则、内幕……缺一不可。要展现某一种职业，不仅仅要展现这份职业光鲜亮丽的一面，还要展现辛苦狼狈的一面。但最真实、最能引起观众共鸣的，更重要的是最能体现专业性和精神理念的，是这份职业特有的日常小细节。比如，主播要严谨，看到画面中有枪，在未经查证不知真假的情况下，只能说“手枪形物体”；比如，剪辑要引导，给谁画面多、给谁特写，都有讲究；比如，记者要采访录音，一定要有专门的录音笔，而不是用手机，因为手机在录音时可能遇到来电话而中断录音、手机需要在受访者说话时用来即时搜查资料，以验证受访者信息是否有误或有诈；还比如，记者要报道现场，穿的都是球鞋，和休闲且不扎眼的衣服，因为需要时时方便奔跑、需要有时避免被认出记者身份……这些小细节，一定是借资深前辈的言与行来展现，它们是这份职业的日常，更是从业者的经验积累与职业素养。借前辈之口展现的，还有这份职业的价值与从业者的信念。毕竟，拍一部职场剧，当然要表现这份职业有价值、有辛苦、有荣耀、有伟大，当然要将这份职业表现得令人尊敬、向往。而这方面，TVB 向来做得非常好——看 TVB 职场剧长大的 80 后、90 后中，有很多就是因为《鉴证实录》、《一号法庭》、《刑事侦缉档案》、《法证先锋》等而从事了法医、律师、记者、警察等职业。《刑事侦缉档案》那么“场”呢？《新闻女王》刚播出时，热搜给它打上了“宫斗”的标签。而被内娱荼毒久了的观众，也似乎已经默认现代职场里的斗争，就是古代后宫里的斗争（甚至都不是古代官场里的斗争）。是，也不是。“场”，是具象的场所、场地、场景，也是无形的场域、磁场，还是不言而喻的名利场、赛场。“场”之所以存在，是因为有人。场为人提供支撑，而人塑造了场，场也反过来塑造了人。是，有人的地方，就会有斗争。但在斗争的同时，有职业操守和职业信仰的人，更要紧把工作做好。而对于能把工作做好的同事，即使站队不同、对方没情商，专业的职场人也依然会给予肯定，甚至夸奖。职场斗争很残酷，可谓“人咬狗的世界”，但职场的残酷的除了来自内部，还来自外部。而面对外部威胁或机遇，有态度的职场剧会拍出职场人暂缓斗争、积极合作。因为在职场里，有共同利益，也有共同职业信仰。因为正是那份共同信仰，支撑着职场人绞尽脑汁、拼尽全力、做到极致。03 真正的大女主剧内娱有经典的宫斗剧、精美的古偶剧、惊险的扫黑剧……但尚未有真正的大女主剧。# 什么是“大女主剧”什么是大女主剧？首先，女为主，男为辅。剧中的绝对主角是女性，剧中的主线是女性一路升级打怪，完成个人成长——并且，靠的是女性自己的力量，即便有获得外界的帮助，也绝不是男性的权力庇护。大女主有最多的戏份、最强的能力、最狠的气场……大女主还有大女主精神——大女主从来不指望男性骑士来救，她自己就是善战的英雄。大女主被人夸的从来都没有美，如果有，那就假笑再翻个白眼。大女主一门心思只想搞事业、搞事业、搞事业。如果搞事业需要抢，那就抢。如果搞事业需要用身材，那就用身材。（实际上，剧中真正惯用自己的身体——陪睡、陪酒、陪高尔夫——去做交易的人，是第一男配角梁景仁。）如果搞事业被高大帅气的律师男友质问，“是工作重要还是他重要？”，那就直接怼一句“你说呢？”然后头也不回，直奔公司。……大女主搞事业，专业刻在脑里，野心写在脸上，鸡血打满全身。《新闻女王》里也不是只有事业、没有爱情。但在那些爱情里，男性首先爱上的，显然也是女性在搞事业中展现出来的才能与品质，而不是美貌。至于爱情对于大女主，就，爱情诚可贵，事业价更高，舔狗睡一睡，到点便可抛。总之，大女主搞事业，男配打辅助。辅助分两种。一种是衬托女主，在立场上做反派、在能力上当废柴、在责任上缩成龟，在品格上渣渣菜……还有一种辅助，是助手（前提得有能力），在工作上全力辅助，在家庭里当贤内助。光芒万丈的，只会是大女主。大女主不是人人都爱她，而是人人都服她。说白了，是主是次，核心就看谁是权力方。为什么内娱创作不出大女主剧？因为塑造的那些 “霸道总裁爱上我”、“圣母贤妻”，是根本没搞清权力的主次。或者装搞不清。《以爱为营》# 大女主剧为女性发声大女主剧中的大女主再无所不能，编剧也不能脱离现实，凭空为她构建一个芭比乌托邦。所以，大女主剧也必须承认和直面，无论是女性意识相对内地更先进的香港，还是女性地位全世界最高的冰岛，女性的处境依然困难不公，女性的命运也依旧困在模式里，做不到真正的自由与多样性。所以，《新闻女王》中除了第一女主文慧心以外，其他每一个女性角色，都可以说是文慧心的现实分身——如果文慧心恋爱脑，能力不足还想篡位，那她就有可能是徐晓薇；如果文慧心身材妖，喜旁门左道又站错了队，那她就有可能是许诗晴；如果文慧心固执正直，拒绝权斗不争不抢，那她就有可能是张家妍；如果文慧心守旧软弱，被丈夫家暴不敢公开，那她就有可能是叶晨；……对不同“分身”，不能只看表面，说都是这位女性的个人选择。现实中，女性根本没那么多选择。就连屏蔽了以上种种重重束缚的文慧心，也依然要面对被一群男性高层嘲讽排挤，也依然要被男性张口就说，“让我考考你”。
正因如此，大女主剧在难得由女性掌握话语权的机会下，不仅会通过体现大女主群体所处的女性现实处境，来突出大女主在艰难的情况下还能卓越获胜，还会体现其他不同女性群体的真实处境，为女性发声。# 大女主要斗的从来都不是男《新闻女王》里的绝大部分男性角色，明显都承认女性拼命工作的正当性，这不仅体现在男友的支持，还体现在男同事的鄙视、维护，和惧怕。所以，大女主的敌人，并不是男配。正如女性要反抗的，从来都不是男性，而是父权制。父权制的代言人，不仅有男性，也有女性。比如剧中的老板娘方太太，就是父权。她居高临下，享受奉承，摆布员工，玩弄权术。甚至文慧心自己，也同样以上级权力压制女下属和男下属。这不是 bug，而是大女主剧并不需要把女主塑造成圣人，借女主身上的缺点和矛盾来体现价值观更耐人寻味。《新闻女王》当然不是完美的，拍摄手法和演员表情的浮夸也会显得尬，部分情节的 drama 也会显得假——说到底，它只是大女主职场爽剧而已，便也就只是做好了大女主职场爽剧而已。那么写到这里，不禁想问一句——2024 年，内娱能不能出一部真正的大女主职场爽剧？（原文发表于公众号 @ 哈哈劲）",0,0,4
1702129375-2,新闻媒体,https://movie.douban.com/review/15582969/,新闻媒体,一不小心一口气追剧到 12 集。不说一些浮夸的剧情，剧情来自生活，这部剧或许是在表达更深层次的东西，那就是正视女性的需求，首先是工作。 昨天我一个 85 后同事还在说现在女性地位很高，我只是笑了笑，以 man 姐为代表的女性职场人，她用自己的工作能力证明了自己，权利，金钱，性，感情都要，用自己的能力和智慧实现 自己 的梦想,0,0,4
1702129386-3,文慧心和张家妍给我们女性上了一课：事业和梦想远比男人和爱情重要,https://movie.douban.com/review/15592646/,文慧心和张家妍给我们女性上了一课：事业和梦想远比男人和爱情重要,今晚看《新闻女王》第 15 集，很有意思。文慧心回到家，发现小奶狗情人提前进了她家，下厨做了牛排餐，还送了花，对她说 “surprise”，她没有感到惊喜，反而是错愕和不悦。她第一时间要求小情人把家里钥匙🔑还给她，并说“我不喜欢这样的惊喜，如果是十年前的我，会喜欢”。在交代小情人“把所有东西收拾干净，把花留下”后，她头也不回地走了，去赴受访者的约，去忙工作。张家妍回到家，看到男朋友及其父母还有七大姑八大姨都在家做求婚见证，男朋友捧着一束玫瑰花给她惊喜，向她求婚。她第一反应是“你要说多久？我十分钟后要到荣记冰室（工作），你可不可以帮我叫辆车？”男朋友叫车后，向她求婚“嫁给我，你愿意吗？”她飞速亲吻男朋友，并说 “I do”，然后飞快地坐上打好的车，去工作了。这两位女性都不太在乎伴侣给自己的惊喜，她们把新闻梦想和工作看得远比男人和爱情重要，事业大过天在她们身上体现得淋漓尽致，把我深深震撼到了。钦佩且羡慕有事业，且有事业梦想的女性，这两个女性角色，给我们女性好好上了一课。,1,0,
1702129398-4,谈钱、谈野心、谈事业，就是不谈感情,https://movie.douban.com/review/15606230/,谈钱、谈野心、谈事业，就是不谈感情,“找个男人嫁了吧”比以前 TVB 宫斗剧扇耳光更“狠”啊，看这部剧的时候，总会想起以前 TVB 里那些姐姐妹妹扇耳光的名场面，毕竟一言不合就开撕、怼人不挑日子真的太太太解压了。相比于过去 TVB 宫斗剧里的“又爱又恨”，这部“职斗剧”同样让人看得过瘾，鲜明的人物性格，如鱼得水的剧情节奏，仿佛回到了港剧的高光年代，明争暗斗、对立互撕 ...... 总之好喜欢。佘诗曼饰演的文慧心是一个活得雷厉风行、叱咤职场的女人。她干练的短发、犀利的眼神和走路带龙卷风的气场，任何时候都可以点破睡梦中的你，告诉你如何活得人间清醒。时下，大女主的“职斗剧”也是乱花渐欲迷人眼，有的职场剧以为给女主换不同的职业装，涂大红色口红，戴一副黑色墨镜，伴随着高跟鞋“哒哒哒”的声音游走在办公室里，再用一贯的手势对员工指指点点，似乎这样能衬托出职场女精英的形象。实际上，人物表演没有贴近角色，细节不够到位，同样也只是穿着花衣服的“纸老虎”，色厉内荏而已。在这部剧里，文慧心通过她的业务能力烘托出角色形象，再通过演员佘诗曼本身的外在塑造出职业女性的气场，以及剧里她的狠劲、拼劲、心气儿，还有她的野心、聪明、腕力，不得不感慨，开撕还得是老的辣。剧里的女人们都在因为工作而“斗”，没有因为小情小爱耽搁自己认真搞事业。相反，我也很喜欢那些高冷、世故、现实、挑剔、说话一针见血的职场女性，如果我作为文慧心的手下，我肯定能够得到快速成长。因为这里不看过去，也不关心你鸡毛蒜皮的生活，只看你在工作上有没有用乘风破浪的心态去拼，有没有用昂扬的斗志力去搏。我很喜欢文慧心说的这句话，犀利之中又引人深思：“你宁愿用戴着三克拉戒指的手去擦眼泪，也不愿意用你的伤痕，去证明你反抗过、争取过，那你就是懦弱。”看完这句话真的太受鼓舞了，女生们，与其总是花时间研究如何让自己的脸变漂亮，不如花时间提升自己让自己活得漂亮。脸蛋或许可以让你快速拿到“入场券”，但别忘了有保质期，唯有自身一步一脚印的努力与踏实，才会让你得到真正有底气的安全感。我佩服文慧心这样的女人，她有自己的光芒和能量，她懂得为自己增值，也懂得如何成全自己的野心。在旁人眼里她“油盐不进”，天生一副趾高气扬的高冷形象，实际上她只是更懂得在职场江湖里如何活下去。,3,0,4
1702129410-5,港剧的小小天地,https://movie.douban.com/review/15589281/,港剧的小小天地,在正式看这部剧之前，光听名字就觉得像个烂剧，“女王”两个字看似女权实际满满的讽刺和迎合，莫不如叫《新闻之王》，或者干脆摆烂叫《女主播》 。开始看之后觉得还可以，比同期的很多大陆剧好多了，尤其是古偶。（我非常缺乏做家务时可以“听”的国语电视剧，因为我英文很烂，不看字幕没办法顺畅观剧）虽然最近十来年港剧没落了，不得不说底子还在，节奏快、台词好、演技在线、逻辑自洽、煽情克制、不搞无用慢镜头。主演们的演技毋庸置疑，虽然比不上老戏骨，但是可以碾压大部分国产剧演员了（对，就是那些面瘫装深情装城府装精明装美好粉丝非说演技好的的狗屎们）。对于人心、人性的把握揣摩刻画的也很到位，经常会有“意料之外情理之中”的镜头，让观众恍然大悟。不管主角还是配角都是立体的有血有肉的，不是二极管。甚至一个连名字都没有的路人甲，露一下脸，她的表情都符合当时的场景和身份。办公室同事通过直播知道小薇跟乔治谈恋爱之后的表情，中间女同事的笑充满了讽刺和轻蔑这要是换成内地剧，这些同事的八卦都能拍一集，每个人都给个不屑和嘲讽的镜头，然后说一堆批判小薇的话，再配上小薇着急解释以及泪眼婆娑的慢镜头，必定还会有一两个“好同事”安慰小薇，帮忙跟这些爱八卦的同事辩解和怼人。港剧一个镜头带过，一切尽在不言中。还有千言万语的夸奖省略不计，下面就说点不满意的事情这部剧跟很多内地剧一样，有让我不舒服的地方。女主升职的关键点是因为她同在电视台的男朋友在自己受枪伤的情况下依然鼓励女主继续拍摄歹徒跟警察的枪战画面，从而让女主一战成名，而男朋友却因伤（腿瘸了）退出了电视台。好像如果拍成女主不顾男朋友受伤坚持去拍摄就显得女主冷血不近人情一样，主角总是有道德包袱。剧中男主跟各个女主播都纠缠不清，跟女主既是师徒又是对抗关系，跟女主的助理恋爱让其卧底，跟自己的下属暧昧，隐瞒婚姻状况跟同事恋爱让同事被小三，对其他部门下属释放魅力导致其误解自杀（把职场性骚扰拍成了梦女也是神奇，好大的脑洞），就差跟公司股东大佬方太传传绯闻了。好像职场中只能靠性来联系男女同事一样。到底是贵圈太乱还是我们公司太单纯呢？然后可能因为香港就那么大点儿，电视台也少的可怜，所以不管怎么样，大家都得在同一家电视台混下去，不然就失业了，所以从下到上一个个要像丫鬟一样端茶倒水伺候人，以便从上一层获得一点点可怜的资源。虽然是做新闻，但是翻来覆去的也就是一些家长里短的事情，哪里有噪音了、豪门内斗啦、警察扫黄啦、哪里发生火灾啦，总之就是在香港巴掌大的地方发生的屁大点儿的事儿。放在二三十年前的港剧里可能不违和，但是都 2023 年了，大陆已经这么牛逼了，对世界影响之大，香港的新闻人是目盲吗？看到目前剧里唯一提到的香港之外的事情好像就是英国脱欧。可能弹丸之地的通病吧，日本韩国还有湾湾都是只能拍拍自己那一亩三分地的事情，眼界格局就那么大点，只能做个井底之蛙。虽然但是，还是值得追，适合做饭洗碗下饭收拾家。,1,0,5
1702129421-6,过度解读一下《新闻女王》到底是谁？,https://movie.douban.com/review/15568885/,过度解读一下《新闻女王》到底是谁？,因为第六集张家妍说她不想搞山头文化，于是我就有了一个大胆的想法。《新闻女王》到底是谁？我大胆猜测，新闻女王就是 2000 年前后，那个混乱又很兴旺的 TVB。故事的幕后大 boss 是方太，她是资本方，不管内容创作，只管赚钱。一切的宫斗都是从她开始。而 2000 年前后，TVB 的真正大老板就是邵逸夫的妻子六婶方逸华。在她之下是则是主管戏剧和艺员的两个总监梁家树和他的太太芭姐，这两个人物对应新闻台的主管飞爷。飞爷下面有两个主播是负责生产内容的，man 姐是珍姐曾励珍，佐治是乐易玲乐小姐。为什么是这样排列而不是反过来。有三个原因：1. 珍姐比乐小姐资历老2. 珍姐作风强悍，擅长拍小成本制作，经常出爆款。2000 年靠不被看好的《茶是故乡浓》打败梁派的《创世纪》。乐小姐擅长和投资者打交道，后来升到管理层，顶替芭姐的位置，喜欢用艺员续约牵制内容创作。3. 佘诗曼是靠曾派的《十月初五的月光》大红的。而乐小姐擅长捧小生，郑嘉颖、林峰、胡鸿钧都是他的爱将。剩下的几位主播可能代表曾经那些年 TVB 一些很有个性的监制。张家妍资历老、作风强悍、一门心思就想做新闻，不断挖掘新的角度。像极了《巾帼枭雄》的监制李添胜，他在 TVB 做了很多年艺员训练班的老师，专门培养新人。梅小青刘家豪夫妇，最擅长甩扇巴掌刺激观众，剧情狗血，但是很受欢迎主妇和金主爸爸欢迎，代表作《溏心风暴》、《宫心计》。对应主播许诗晴。何依婷扮演的徐晓薇，神经兮兮，关键时刻掉链子，但是斯坦福毕业，可能厚积薄发。可能是金牌监制戚其义这一类，早期作品大量扑街，后期观众才知道他的好。新人刘艳对应的可能是曾志伟自己。一方面，说他是新人（管理层）是谦虚也是事实。另一方面，扮演者是他的儿媳妇。还有剧里 man 姐和刘艳的关系，有点现实中曾志伟和曾丽珍，我赞同你，但也不是很赞同的感觉。而且他成为管理层后试图改变山头文化，所以他拍一部片子讽刺这件事情是有可能的。最后是刘艳这个名字，可能是留下火焰的意思。希望 TVB 可以薪火相传，不要因为斗而断送了未来，就是送刘艳近火场，就是把曾志伟炒掉。最后，是 SNK 是什么？SNK 是日本一家擅长制作格斗类游戏的公司，类似于《拳皇》，A 和 B 对战。N 可能是 News，是双方争夺的媒介。S 和 K 可能是对战的双方。S 可能是 Seek，寻找新闻，是制作电视节的工作者K 是 Know，让这条新闻被人知道，是电视发行的工作者。这两个部门本应该团结一致才能生产出好的内容，结果却因为高层的驭下之术发生争斗。最终舍本逐末不能回头。补充时间线后续更新会发在帖子里 https://www.douban.com/group/topic/298016875/?_i=00573154f55a861&dt_dapp=1,5,0,5
1702129433-7,其實以新聞的主題可以拍的更深刻更有意義更能共情,https://movie.douban.com/review/15570130/,其實以新聞的主題可以拍的更深刻更有意義更能共情,新聞的殼 宮鬥的核 近年來 tvb 的劇無論是拍什麼都能拍成宮鬥 ，這個劇看完前面幾集後面都不忍心看下去了，原以為是真的具有積極性的大女主，面對任何心機權謀都能一笑置之，努力奮進實現自己對新聞價值的堅持，可是預告似乎不這麼回事，全員壞，沒人善良，不知道是不是近年來 tvb 看那些個黑暗韓劇美劇多了，想要更靠近他們還是咋的,3,3,5
1702129446-8,人浮于戏，戏脱离地！《顶楼》抓马流硬拗新闻业，何来女王格局？,https://movie.douban.com/review/15575149/,人浮于戏，戏脱离地！《顶楼》抓马流硬拗新闻业，何来女王格局？,中段回看更确定，女主播这个角儿，就是七拼八凑出来的。一时居高临下、拉风扮飒，睥睨众生，一时在直播间与男主播公开幼稚斗，一时潜规则男下属，一时又化身悲情战地记者！是不是以为把美剧、韩剧、台剧乃至泰剧中大女主的形象、情节拼凑到一块就是女王？有没想过立住人物最起码的行为逻辑？人心是肉长的，不是堆砌、不是拼贴。现在是不是看个剧都要靠粉丝强行脑补、靠演员推文解释，才能自我洗脑是“好看”？且不念旧人旧情，就算多滥交，女主播怎会看上那种水准的男下属？兔子都不吃窝边草，更何况身处新闻媒体的顶流？是不是《早间新闻》看多了，不照搬些情节显不出“女王”的逼格？开播就料到事后“情有可原”，果不其然。但既然对过去贼王事件中过分功利心盖过起码公义心、没及时报警造成不可挽回的悲剧深感愧疚，当下剧情里就不该、不会在新闻直播中，为名权利各种撕破脸、各种浅薄争斗。曾经沧海难为水，经历磨难的人生厚度，本该凝炼成为女主播与周边一众宵小截然不同的境界与大智慧，这才是女王应有的格局！结果剧情一心只顾着吸睛博热度、刺激观众腺激素，却在情节设置中多处表现出女主播根本不尊重自己为之付出一切的新闻事业！这样的人物是矛盾的、立不住的，叫观众如何投入、共情？至于总监方太这些宫斗剧标配的奸臣、皇帝、皇太后，翻手为云覆手为雨，越看就越像在玩过家家、玩卧底反转游戏，怎么符合现代商业电视台应有的管理规范与经营理念？利用一个个社会新闻事件炒作热度，却没能更好表现出对新闻业的思考与求变，只不断强塞各种热闹的、刺激的情节及反转，看起来就像强行往“女王”身上套上一件五颜六色的百纳衣。至于有些营销大肆吹捧剧情没尿点的，且不论戏剧留白、张弛有度，就算是强情节反转剧的真爱粉，到现在还看得少吗？哪些桥段真能做到“意料之外、情理之中”？看多了不累眼也累心吧？商业噱头满得就快溢出屏幕，个个角色脸上都写满：我就是要你好看！想复制宫斗收视热度，却连最基础的背景设定都没做好。女主播奸得脸上一道道刻着“心有城府”、“胸有成竹”等四字词，男主播奸成憨憨的小人。还有总监加方太，就算后面再多几个，都是来给胜负天平添加反转砝码的。男女主播在播报新闻中幼稚斗，分分钟搞出直播事故，高层有几个脑袋扛得住每次风险？上来不论角色塑造、故事架构，还是演员表现，乃至灯光运镜，都能看到某些韩剧、台剧的“叠影”。想学《早间新闻》里美式女王的拉风气势没问题，但就没发觉水土不服？或许正因女主播这个角色是强行拼凑出来的大女主，看的过程总觉得演员并不太适应这个角色。也或许是演艺事业起点较高且一路很顺，没经历过什么现实波折起伏，又一贯蕙心兰质会做人，大多角色本质都是或乖巧或娇蛮的职业化演绎，没能在岁月中沉淀出相符的气质。毕竟不是粉丝多了、营销铺天盖地就一个个都能被推上王位、戴上王冠。这么多年里，微博女王也只有一个。反观剧中家妍一角，倒是演得相对自然，不太出戏，可能也因为人设更符合题材背景，不知后段会不会黑化、蜕变成为新一代接班人？切题而入，何为女王？总是要统治王国的。但为此杀伐决断，不等于就要奸得上头上脸。举手投足、处事待人应有大智慧、大格局。可惜期待落空，营销过分，所以不吐不快。此外可能还因为，本剧非要选在当下信息前沿的新闻行业中玩陈年老宫斗，其间又要不停穿插现实中各种社会、民生事件，一时宫斗你死我活，一时现实水深火热，看起来就非常割裂了。但凡这是个架空背景，或是轻喜剧，观众都不用太认真，就像《顶楼》那种高收视火爆韩剧。可那部剧也小心注意到，要将主要剧情约束在一栋虚构的“空中楼阁”中斗来斗去。所以观众明知看着满眼狗血，却依旧看得欢喜、看得畅快。功利心太强，东搬了一些、西学来一套，既要没营养地粗暴输出宫斗，又想找有派头有话题、有各种社会事件可以拉扯的时髦行业重新包装，既要又要，不伦不类，是热闹了但油！没有真新闻，只有假女拳。没有格局，何来女王？,1,5,2
1702129457-9,这片子胆子真大,https://movie.douban.com/review/15576142/,这片子胆子真大,首先，这是一部近几年来少有的高节奏剧，至少目前来看是这样。但在剧情设定上，还是有漏洞的。就李国麟发疯的那里，居然怪罪是基站造成的。这种不怕收到有关部门的律师信吗？回头国内因为这个再掀起一股拆站风波，TVB 有想过后果吗？“记者不该深入前线，使自己成为被报道者。”李施嬅说这话怎么对得起那些战地记者？尤其是巴以冲突的遇难记者？当真是想说就说啊。至于更夸张的第一集，怎么看都是抢方向盘的全责😆😆片子注水的不多，但感觉为了编而编，反而忽视了新闻的真相。少一些用力过猛的塑造，可能会更好。,1,1,2
1702129470-10,tvb 自古不产傻白甜,https://movie.douban.com/review/15576749/,tvb 自古不产傻白甜,"这部剧非常有趣，非常新鲜，大女主，爽剧，恶女，快节奏，职场 pua 应有尽有，没有什么亲情牌，全员恶人，各自都有八百个心眼子，一如既往 TVB 风格，佘诗曼真的霸气侧漏，粤语我真的好爱！可以一直跟着学～
职场明争暗斗我估计活不过一集～
进入职场就知道新闻女王所言非虚，职场对女性角色真的很不友好，第十集那些男人的话题不是名表就是开女人玩笑真的逊毙了，女性角色要爬到高位，不仅要有能力情商，还得出奇制胜，反观男性，会吹水来事见风使舵，就能稳稳做高位，还备受看重，女性做高位一旦长得漂亮就会被人说上位靠不择手段，幸好这部剧全员恶人，女性都不是恋爱脑，大家都有自己的目标！冲冲冲！
还有很多名言，找个男人就嫁了，三分之一理论，人类一思考，上帝就发笑等等等，编剧到底打了多少份工才有这种发言啊啊啊新闻女王  (2023)8.02023 / 中国香港 中国大陆 / 剧情 / 陈海斌 姜振杰 / 佘诗曼 马国明",0,1,5
