comments,ratings
笑死了，小混混无理取闹还抢司机方向盘是直接导致事故发生的原因，没人在意，全程查这个，查那个，还把司机以危险驾驶罪捉了起来，采访时说别人要付全责！？黑人问号,1
绷不住了，全程自带装b光环➕油腻表情，慢镜头这么多，平时可以多看看tvb新闻，新闻主持语速要是这么慢早没工作了,1
当年HKTV的《导火新闻线》真是yyds这些剧照抄都不会,1
以前TVB真的是我的挚爱，看到好评那么多也怀着期待追剧。看了几集气得我高血压，如果这就是所谓的飒所谓的大女主，那希望你日后的领导也这样，无时无刻不在pua你，甚至不拿你的命当人命。这就是所谓的girl power？身体上位？愚笨？对喷？明晃晃把雌竞写脸上？且作为新闻从业者，真相与流量有矛盾我从不否认，但在直播的时候为了己方输赢没有商量的不顾大局的抢话互斗甚至随意控制麦克风随意编辑提词器真的不是在侮辱观众的智商吗。看着各个平台都是各种好评，感觉媒介素养是该列为基础教育了。。。。真的垃圾，别说啥跟内地比啥好一大截了。。。咋就不能比点好非得比烂呢。。。,1
当我看到记者去现场比警察医生还早的时候，就弃剧了,1
哪个龟犊子宣传的骗我来看这部电视剧的，主播在直播过程中公然抢词互相对着干，警员受伤躺在那儿4个小时没人救，还有女主为了自己的职业生涯pua小菜鸟下属进火场拍摄，还新闻女王，新闻女鬼吧！拜托，连大陆最low的国产剧都知道拍成主角自己进火场好吧！简直浪费我时间,1
是我的错觉吗？看到8.1点开第一集五分钟不到就被港剧一贯装逼+浮夸+做作的演技雷到关掉以保护眼睛！吹这部剧的去看看美剧早间新闻吧，会见识到什么是真正做新闻以及专业度和各种高逼格！2023了怎么还有这么假的剧，关键还8.1，真是匪夷所思！,1
装模作样，装腔作势，只摆出一副不可一世的样子并不代表你就是无所不能的大女主。这剧有配音吗？这港普听着真是难受，把普通话说好了再演戏吧。实在看不下去了,1
弃了…包了新闻公正的的皮讲了一滩弱智无聊恶臭故事…tvb捡不起来了…,1
看看人家台湾怎么拍新闻剧的吧…..别天天宫斗了,1
建议香港人不要拍新闻剧了哈，大学新闻系都没人去了，媒体该倒闭的也倒闭了。你搁这儿坟头蹦迪呢？“一个健康的社会不该只有一种声音。”,1
当佘诗曼拍胸脯讲出那句“给你看看什么是新闻的极致”时，哇，yue了呀，魔怔了这是 ？,1
13集是哪个臭弔写出来的,1
真的好想给#新闻女王# 打一星[裂开][裂开]，为什么要叫新闻女王呢？叫政治女王算了。一堆人一天天正事不干，在那搞权斗，真的好无语。就没见他们正经播过一条新闻。,1
？？？让下属冲进火灾现场拍照，这不是新闻女王这是新闻女巫,1
看不下去 半集弃,1
TVB冇了。,1
宣传内卷的剧，啥时候实现6小时工作制是正经事。别给卷王发牌坊了。,1
明明是糟糕的宫斗戏，非要包装成新闻编辑室的故事，里面没有一丝的戏份跟制作一条好的新闻有关。man在火灾现场说要报一次新闻的极致，看完我问号脸，这几句话谁不能说啊,1
真的不知道8.1怎么出来的，假到不行的大烂片，港剧真的江河日下，披着宫斗剧外衣，还是烂俗的概念和演技，现在一点进步都没有。,1
演技太浮夸了 用力过猛 就是新闻界的宫斗戏,1
新闻行业真不是这样的，想做“宫斗戏”放过新闻好吗？事故现场“记者”高跟鞋慢镜头出镜那一刻，这片子就没救了。,1
这剧情好假啊,1
浮夸油腻傲慢,1
幼稚，跟小学生一样,1
人血馒头营销不可取。其实也很悬浮啊… 开金手指记者比警察早到这种就不说了，别说什么HK不一样，你看刑侦剧是谁到的早… 就是主角光环而已…其他方面也悬浮啊，前面有新人刑毁，后面有不要命进火场…佘诗曼脸有些僵且一直瞪眼的感觉。李诗嬅好很多。不过大家播音腔都有练过。其实也是爽剧，但了解新闻的总感觉有些不贴地不现实。,1
"202311
第一集就觉得好难看，不知道为什么内地这么红，可能是内地佬内地垃圾片看多了。巨讨厌这种充满硝烟没安没乐的宫斗剧，压抑的假职场。
本来佘诗曼演戏还可以，但是这部剧里发型难看，衣服低档，脸又硬老，总是骄傲自满拽得不行，不喜欢佘诗曼那个不可一世的嘴脸。／何依婷更是硬捧，长得鼓包子脸真丑，一副心机婊样，戏份大得惊人。
整部剧一堆港姐有个屁用，全是花瓶。
还有服装巨丑，全是低劣聚酯纤维，好low。
知道hk那边也狂吐槽，我就放心了。
看了不到一集，马上回去看＜夏娃的诱惑＞＜太阳的女人＞。人家那才是主播剧，有职业素养，有冲突，有温情爱情。",1
第一集看完直接劝退,1
内地观众是有多不自信！这样的烂片也能8+是眼瞎了，还是膝盖软了！,1
虽然20分钟就有一堆bug，虽然腿部高跟下头特写能持续三秒钟，虽然声称大女主剧可是一个整天打高尔夫的男领导还是能和勤勤恳恳工作的女主分庭抗礼，虽然女主死鱼脸比不演偶像剧的唐嫣面瘫一百倍，但是我们内地职场剧又又又被tvb降维打击啦。,1
这年头还有在吹TVB的，我也是醉了…,1
是这样的，这个年代呢……这……不是……那个……好吧，会被喷的，饮茶去啦,1
越来越像刘嘉玲……新闻早就没落了……nonsense,1
看到第七集怒评一星，罔顾人命打着新闻的真相的名号，让新人记者不顾自身安危进去火灾现场，差点造成重大人祸。而几个争权斗利的主播也是资本的旗子而已。人心的解读的确是真实职场的模样，但是这到底在倡导什么？特别是刘艳抬上担架的时候，放的煽情音乐太讽刺了。全电视剧就我和张家妍是正常人，看几个人痴线😓,1
几胶。。。,1
我去翻煲旧剧好过,1
假奋斗！又称之为“我系点样将宫斗剧拍成职场剧”，从识得稳内地金主就知tvb仲未死晒，但已经越来越卑微,1
TVB明明有新闻部，剧还能拍成这个样子,1
想到前公众号女王咪蒙和抖音快手的各种小视频，反正咱这萎女是无福消受tvb给的蓝色小药丸了。,1
香港娱乐圈越来越越内地化了  净搞一些破烂玩应,1
这做作的演技和剧本………完了，我长大了！！！,1
女主居高临下训人的样子真恶心,1
喜欢2010年以前的港剧风格,1
假到不能再假,1
笑死,1
台词差，各个演技演技倒退,1
人物很情绪化…,1
像是一场提前设计好的“高潮”,1
"张家妍这个角色塑造得既双标又白莲花假圣母，嘴上说看不惯man姐各种行为，自己对待新人下属刘艳的做法和态度却是有过之无不及。
        张家妍行为的本质是对man姐的雌竞。由于在电视台一直强调自己不站队不权斗，导致自己组的素材大家都觉得是烫手山芋没人愿意播。每当遇到自己想爆料的内容，即使飞总和George都是明牌大烂人，却依旧都优先选择飞总和George，向他们寻求机会尝试播出自己的素材，被他俩都拒绝后才会想起man，真的很可笑。
        尽管这部剧播到现在是强过很多国产职场剧，但本质只是披着大女主皮的TVB宫斗现代剧罢了...",1
三观不正 塑造垃圾新闻人,1
"对不起佘诗曼
什么猪写出来的 事故现场 新闻人先到？",1
人设悬浮，与现实割裂严重,1
第一集记者快过警察赶到事故现场，现场都是亲历者不上去问两句发生了什么，反而事后靠线人放料和砸路人车窗偷行车记录仪？？？艺术不能脱离生活啊喂,1
越往后越恶心,1
歇菜吧，港剧早已失去灵魂。做好它很差的心理准备来的，但没想到它竟然还能跌破我预期。这剧但凡上了六分我都得说可能现在的观众没见过好东西所以垃圾吃得还挺带劲的,1
呃  别污蔑新闻人了,1
1，好家伙，它们之间的斗争，全在明面上，说话都直接说脸上，不服就是干。说话都是呛呛着说，夹枪带棒。以前遇到过这种同事，感觉减寿，走人。2，要想在斗争中获胜，要想有话语权，必须做出更大业绩，本来大家做到8就可以了，现在相互飙着劲儿，大家都得做到12，岂不是便宜了老板，我可不干这傻事儿。,1
第一集还可以 从第二集开始好难看 本身就有致命伤，还得加个张佳妍这样的角色。每个作品都得有个这种活在自己世界里的认知不健全成年人设定吗 我不理解,1
"这个剧为啥能火，打工人代入一下快窒息了。
看名字还以为是什么不惧强权，报道社会黑暗面的新闻女王，完了就是和对面斗来斗去，让手底下小姑娘当炮灰的换皮宫斗剧。",1
香港这么可怕吗，记者比救援队来的都快，还能在狭窄的救援通道那举个摄像机不救人？还跟救援人员说不用管我你就你的，这么牛吗,1
人物架设有点抄台湾剧模仿犯吧,1
除了个别主演，其他大部分演员的演技以及部分剧情尬到脚趾扣地，配音也很奇怪,1
既然连办公室布景都抄newsroom《新闻编辑室了》，能不能学学人家怎么拍新闻的？不是拿新闻的帽子，做宫斗的剧情，香港记者薪资不高地位不高，不是真热爱谁做啊？这个剧情平行移到基金公司也成立，不要搞新闻业啦，这个行业已经这么惨了,1
失望,1
香港片真的是没落了,1
"第一，这真是23年的剧，还电视直播，还有这个影响力吗，其他媒体居然比电视直播还晚出新闻、视频，现场伤者和路过司机居然还等着电视台记者要视频，而不是自己发？

第二，这几个女主的脸一眼假，除了佘诗曼，完全没辨识度。

第三，主播太业余了。TVB自己不做新闻了吗？",1
居然有8.2分 报道首相去世的消息 报道小道消息 确认首相真的去世了 居然全部欢呼雀跃 让人不适 还是以前的港剧好看,1
尬到抠脚，就这8.2分，什么审美？,1
拿腔拿调的小儿科剧情到底有什么好吹捧的,1
