nan,新闻,剧,职场,TVB,剧情,好,佘诗曼,港剧,好看,节奏,太,喜欢,演技,文慧心,女性,集,看到,记者,不错,宫斗,角色,拍,这种,挺,觉得,想,搞,现在,内地,男人,浮夸,大女主,编剧,演员,爽剧,知道,这部,宫斗剧,后面,人物,职业,女主,女王,香港,马国明,工作,确实,台词,烂尾,真
新闻,358,5,6,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41,2,0,0,0,0,0,0
剧,5,408,105,17,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,1,0,1,1,12,0,0,14,1,0,0,0,35,0,0,0,24,0,0,0,0,0,2,0,0,0
职场,6,105,345,6,0,0,0,1,0,0,0,0,0,1,9,0,0,1,0,8,0,6,7,0,0,0,0,0,9,0,1,3,0,0,3,0,0,9,0,1,0,1,2,4,0,0,0,0,0,0
TVB,1,17,6,354,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,5,1,0,1,1,0,4,0,0,0,0,2,1,1,0,0,2,0,0,6,0,1,0,0,0,2,0,0,0
剧情,0,0,0,0,334,3,0,0,0,11,4,1,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1
好,1,0,0,0,3,305,3,1,1,2,0,10,7,0,0,0,3,0,0,0,0,0,0,17,2,5,0,1,0,0,3,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9
佘诗曼,0,0,0,0,0,3,278,0,0,0,0,6,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1
港剧,0,0,1,2,0,1,0,208,2,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
好看,0,1,0,0,0,1,0,2,202,0,14,0,0,0,0,0,1,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
节奏,0,1,0,1,11,2,0,0,0,176,1,0,0,0,0,1,0,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
太,1,0,0,0,4,0,0,1,14,1,165,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
喜欢,1,0,0,1,1,10,6,3,0,0,4,140,0,6,1,0,1,0,0,0,0,0,8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
演技,0,0,0,1,1,7,15,0,0,0,1,0,139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,3
文慧心,0,0,1,0,0,0,0,0,0,0,0,6,0,120,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
女性,0,1,9,0,0,0,0,0,0,0,0,1,0,0,89,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
集,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
看到,2,0,0,0,0,3,3,0,1,0,0,1,0,3,0,0,116,2,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
记者,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0
不错,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
宫斗,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
角色,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
拍,3,1,6,5,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,94,6,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,3,1,0,0,1,0,0,0,0,0
这种,0,5,7,1,2,0,0,0,0,0,0,8,0,1,0,0,1,0,0,1,0,6,103,0,0,0,1,1,0,0,1,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
挺,0,0,0,0,0,17,0,0,12,2,0,1,0,0,0,0,0,0,0,1,0,1,0,92,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
觉得,0,1,0,1,0,2,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,88,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
想,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
搞,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,1,0,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
现在,0,1,0,4,0,1,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
内地,0,12,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
